Desde,Hasta,% Sulf,Py,Cpy,Cc,Bo,Mo
762.0,764.0,1.57,0.3,0.77,0.0,0.39,0.11
764.0,766.0,2.13,0.4,1.1,0.0,0.55,0.08
766.0,768.0,1.98,0.36,1.04,0.0,0.52,0.06
768.0,770.0,1.66,0.36,0.83,0.0,0.42,0.05
770.0,772.0,1.65,0.34,0.83,0.0,0.42,0.06
772.0,774.0,1.62,0.3,0.85,0.0,0.42,0.05
774.0,776.0,1.68,0.26,0.89,0.0,0.45,0.08
776.0,778.0,1.59,0.27,0.79,0.0,0.39,0.14
778.0,780.0,1.37,0.28,0.71,0.0,0.35,0.03
780.0,782.0,1.43,0.32,0.72,0.0,0.36,0.03
782.0,784.0,1.59,0.34,0.82,0.0,0.41,0.02
784.0,785.0,2.29,0.4,1.24,0.0,0.62,0.03
